ALGORITHM,PARAM,TIMEEXEC,NCLUSTERS,NCLUSTERS_PREDEF,FILE_OUTPUT,Silhouette_euclidean
Gaussian mixtures,n_components=3,0:00:00.254364,3,YES,DIR: GaussianMixture,0.2101668713647928
Agglomerative clustering,n_clusters=2  affinity='euclidean',0:00:01.594114,2,YES,DIR: Agglomerative clustering,0.20893232789318045
DBSCAN,eps=5.2501 min_samples=10,0:00:14.069211,248,NO,DIR: DBSCAN__min_samples10,-0.20557273434531134
BIRCH,n_clusters=3,0:00:01.740846,3,YES,DIR: Birch,0.19868815581513474
Bisecting K-Means,n_clusters=4,0:00:00.017001,4,YES,DIR: BisectingKMeans,0.19746950431305937
Gaussian mixtures,n_components=4,0:00:00.409952,4,YES,DIR: GaussianMixture,0.18928663467120221
DBSCAN,eps=9.7501 min_samples=100,0:00:13.711513,2,NO,DIR: DBSCAN__min_samples100,0.18167585465391395
DBSCAN,eps=8.2501 min_samples=10,0:00:33.956676,72,NO,DIR: DBSCAN__min_samples10,-0.18103855787196224
Bisecting K-Means,n_clusters=5,0:00:00.026000,5,YES,DIR: BisectingKMeans,0.17866974982375217
Bisecting K-Means,n_clusters=6,0:00:00.015624,6,YES,DIR: BisectingKMeans,0.17693287640641137
Agglomerative clustering,n_clusters=6  affinity='euclidean',0:00:01.575917,6,YES,DIR: Agglomerative clustering,0.17687502741125158
Mean-shift,iBandwidth_ 2  bandwidth: 14.075440844138413 bin_seeding=True,0:00:41.813466,14,NO,DIR: MEAN_SHIFT,0.17517727498490765
BIRCH,n_clusters=6,0:00:01.880193,6,YES,DIR: Birch,0.17465620240072918
Affinity propagation,random_state=520,0:01:32.298142,194,NO,DIR: Affinity Propag,0.17118753096240896
DBSCAN,eps=8.5001 min_samples=10,0:00:35.597348,44,NO,DIR: DBSCAN__min_samples10,-0.1709840339058726
Mean-shift,iBandwidth_ 5  bandwidth: 17.392636152583314 bin_seeding=True,0:01:32.836234,4,NO,DIR: MEAN_SHIFT,0.16935901362213035
BIRCH,n_clusters=4,0:00:01.816382,4,YES,DIR: Birch,0.16712011364447063
